date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:57:36	22443/22443	---MC-	200	added ('OK')	text/html	etag:%221360088980000--992488720%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaCoderMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaCoderMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:36	17225/17225	---MC-	200	added ('OK')	text/html	etag:%221360088980000--1300206818%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaGeneratorMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaGeneratorMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:37	28336/28336	---MC-	200	added ('OK')	text/html	etag:%221360088980000-142142585%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaListenerMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaListenerMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:37	29492/29492	---MC-	200	added ('OK')	text/html	etag:%221360088980000--1022219683%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaToolMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/AMediaToolMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:37	16690/16690	---MC-	200	added ('OK')	text/html	etag:%221360088980000-868139650%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/APacketMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/APacketMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:37	23455/23455	---MC-	200	added ('OK')	text/html	etag:%221360088980000-532776182%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/ARawMediaMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/ARawMediaMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:37	22039/22039	---MC-	200	added ('OK')	text/html	etag:%221360088980000--815558653%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/xuggler/video/ArgbConverter.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/xuggler/video/ArgbConverter.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:38	16756/16756	---MC-	200	added ('OK')	text/html	etag:%221360088980000-1221262939%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/AStreamCoderMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/AStreamCoderMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:38	15591/15591	---MC-	200	added ('OK')	text/html	etag:%221360088980000--140701286%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/AStreamMixin.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/mediatool/event/AStreamMixin.html	(from http://www.xuggle.com/public/documentation/java/api/)
14:57:38	26673/26673	---MC-	200	added ('OK')	text/html	etag:%221360088980000-2081542864%22	http://www.xuggle.com/public/documentation/java/api/com/xuggle/ferry/AtomicInteger.html	C:/AAATransfer/XuggleAPI/xugglerAPIdocs/www.xuggle.com/public/documentation/java/api/com/xuggle/ferry/AtomicInteger.html	(from http://www.xuggle.com/public/documentation/java/api/)
